URL,Version,Status,OIDs,Name,Title,Description,Used
https://fhirems.github.io/fhirEMSCoreIG/CodeSystem/cs-nemsis-airway,0.2.0,active,"2.25.219926138944530828037824748808947630693.1.1",NEMSISAirway,NEMSIS eAirway Code System,"Enumeration codes from the NEMSIS 3.5.1 eAirway section covering airway management indications, device types, confirmation methods, confirming personnel, complications, and reasons for failed management.",
https://fhirems.github.io/fhirEMSCoreIG/CodeSystem/cs-nemsis-arrest,0.2.0,active,"2.25.219926138944530828037824748808947630693.1.2",NEMSISArrest,NEMSIS eArrest Code System,"Enumeration codes from the NEMSIS 3.5.1 eArrest section covering cardiac arrest status, etiology, resuscitation attempts, CPR type, ROSC, neurological outcome, end-of-event disposition, and first-responder roles.",
https://fhirems.github.io/fhirEMSCoreIG/CodeSystem/cs-nemsis-codes,0.2.0,active,"2.25.219926138944530828037824748808947630693.1.3",NEMSISCodes,NEMSIS General Codes,"General NEMSIS enumeration codes for sections without a dedicated CodeSystem. Currently covers eHistory (eHistory.01 - Barriers to Patient Care). NEMSIS 3.5.1.251001CP2.",
https://fhirems.github.io/fhirEMSCoreIG/CodeSystem/cs-nemsis-demographics,0.2.0,active,"2.25.219926138944530828037824748808947630693.1.20",NEMSISDemographics,NEMSIS DEM Demographic Code System,"Enumeration codes from the NEMSIS 3.5.1 DEM dataset sections dContact (agency contact type, medical director degree/board certification/compensation), dConfiguration (specialty service capability, EMD provision, patient monitoring capability), and dLocation (EMS location type).",
https://fhirems.github.io/fhirEMSCoreIG/CodeSystem/cs-nemsis-encounter,0.2.0,active,"2.25.219926138944530828037824748808947630693.1.4",NEMSISEncounter,NEMSIS Encounter Codes,"Enumeration codes from the NEMSIS eResponse, eDispatch, and eDisposition sections (NEMSIS 3.5.1.251001CP2).",
https://fhirems.github.io/fhirEMSCoreIG/CodeSystem/cs-nemsis-exam,0.2.0,active,"2.25.219926138944530828037824748808947630693.1.5",NEMSISExam,NEMSIS Physical Exam Codes,"Enumeration codes for the NEMSIS eExam physical examination section. Covers body region assessments and finding location qualifiers. NEMSIS 3.5.1.251001CP2.",
https://fhirems.github.io/fhirEMSCoreIG/CodeSystem/cs-nemsis-history,0.2.0,active,"2.25.219926138944530828037824748808947630693.1.18",NEMSISHistory,NEMSIS eHistory Code System,"Enumeration codes from the NEMSIS 3.5.1 eHistory section covering advance directives, medical history source, immunization type, current medication dosage units and frequency, alcohol/drug use indicators, and pregnancy status.",
https://fhirems.github.io/fhirEMSCoreIG/CodeSystem/cs-nemsis-injury,0.2.0,active,"2.25.219926138944530828037824748808947630693.1.6",NEMSISInjury,NEMSIS eInjury Code System,"Enumeration codes from the NEMSIS 3.5.1 eInjury section covering mechanism of injury, CDC trauma triage criteria (high and moderate risk), vehicle occupant location, occupant safety equipment, airbag deployment, OSHA personal protective equipment, and ACN vehicle seat location.",
https://fhirems.github.io/fhirEMSCoreIG/CodeSystem/cs-nemsis-labs,0.2.0,active,"2.25.219926138944530828037824748808947630693.1.7",NEMSISLabs,NEMSIS eLabs Code System,"Enumeration codes from the NEMSIS 3.5.1 eLabs section covering lab result types and imaging study types.",
https://fhirems.github.io/fhirEMSCoreIG/CodeSystem/cs-nemsis-medications,0.2.0,active,"2.25.219926138944530828037824748808947630693.1.8",NEMSISMedications,NEMSIS Medications and Procedures Codes,"Enumeration codes for the NEMSIS eMedications and eProcedures sections. Covers administration routes, dosage units, complications, vascular access locations, airway techniques, clinical response, authorization types, caregiver levels, and Yes/No values shared across both sections. NEMSIS 3.5.1.251001CP2.",
https://fhirems.github.io/fhirEMSCoreIG/CodeSystem/cs-nemsis-not-values,0.2.0,active,"2.25.219926138944530828037824748808947630693.1.9",NEMSISNotValues,NEMSIS Not Value Codes,"NEMSIS Not Value (NV) codes used when a data element cannot be recorded. Three codes apply: NotApplicable (element does not apply to this event), NotRecorded (element applies but was not documented), NotReporting (agency is not reporting this element).",
https://fhirems.github.io/fhirEMSCoreIG/CodeSystem/cs-nemsis-other,0.2.0,active,"2.25.219926138944530828037824748808947630693.1.19",NEMSISOther,NEMSIS eOther Code System,"Enumeration codes from the NEMSIS 3.5.1 eOther section covering registry candidacy, crew personal protective equipment, work-related injury/exposure types, disaster types, external document types, and signature metadata (signer type, reason, patient representative, status).",
https://fhirems.github.io/fhirEMSCoreIG/CodeSystem/cs-nemsis-payer-type,0.2.0,active,"2.25.219926138944530828037824748808947630693.1.10",NEMSISPayerType,NEMSIS ePayment Payer Type Code System,"X12 payer type codes used in NEMSIS ePayment.57 to identify the type of insurance payer.",
https://fhirems.github.io/fhirEMSCoreIG/CodeSystem/cs-nemsis-payment,0.2.0,active,"2.25.219926138944530828037824748808947630693.1.11",NEMSISPayment,NEMSIS ePayment Code System,"Enumeration codes from the NEMSIS 3.5.1 ePayment section covering primary method of payment, insurance billing priority, relationship to insured, response urgency, patient transport assessment, ambulance transport reason codes, ambulance conditions indicators, CMS service level, and payer type.",
https://fhirems.github.io/fhirEMSCoreIG/CodeSystem/cs-nemsis-personnel-level,0.2.0,active,"2.25.219926138944530828037824748808947630693.1.12",NEMSISPersonnel,NEMSIS Personnel Level Codes,"NEMSIS eCrew.02 - Crew Member Level certification and licensure codes (NEMSIS 3.5.1.251001CP2).",
https://fhirems.github.io/fhirEMSCoreIG/CodeSystem/cs-nemsis-pertinent-negative,0.2.0,active,"2.25.219926138944530828037824748808947630693.1.13",NEMSISPertinentNegative,NEMSIS Pertinent Negative Codes,"NEMSIS Pertinent Negative (PN) codes indicating a clinically significant documented absence. Applied to clinical data elements where documenting a negative finding is as meaningful as documenting a positive one.",
https://fhirems.github.io/fhirEMSCoreIG/CodeSystem/cs-nemsis-procedures,0.2.0,active,"2.25.219926138944530828037824748808947630693.1.14",NEMSISProcedures,NEMSIS Procedures/Protocols Codes,"Enumeration codes from the NEMSIS eProtocols section (eProtocols.01 - Protocols Used). NEMSIS 3.5.1.251001CP2.",
