URL,Version,Status,OIDs,Name,Title,Description,Used
http://hl7.org/fhir/contact-point-system,4.0.1,active,"2.16.840.1.113883.4.642.4.72",ContactPointSystem,ContactPointSystem,"Telecommunications form for contact point.","ValueSet/contact-point-system"
http://hl7.org/fhir/sid/icd-10-cm,2.0.1,active,"2.16.840.1.113883.6.90",Icd10CM,International Classification of Diseases, 10th Revision, Clinical Modification (ICD-10-CM),"The International Classification of Diseases, 10th Revision, Clinical Modification (ICD-10-CM), describes the classification of morbidity and mortality information for statistical purposes and for the indexing of healthcare records by diseases. The ICD-10-CM codes can be used as the value of the Act.cd attribute.","ValueSet/us-core-condition-code"
http://loinc.org,3.1.0,active,"2.16.840.1.113883.6.1",LOINC,Logical Observation Identifiers, Names and Codes (LOINC),"LOINC provides a set of universal names and ID codes for identifying laboratory and clinical test results.1,2 LOINC facilitates the exchange and pooling of results, such as blood hemoglobin, serum potassium, or vital signs, for clinical care, outcomes management, and research. LOINC's universal identifiers (names and codes) can be used in the context of order and observation exchanges between information systems that use syntax standards such as HL73, CEN TC251, ISO TC215, ASTM4, and DICOM. Specifically, the identifier can be used as the coded value for an observation in any other standard that uses the observation/observation value paradigm, whether messages, documents, application programming interface (API), etc. For example, LOINC codes are used widely in the OBX segment Observation Identifier field (OBX-3) of an ORU HL7 (HL7 version 2.x or ASTM 1238-9410) message that may be sent between a Clinical Laboratory Information Management Systems (LIMS) and Electronic Health Record Systems (EHR).5, 6 In this way, LOINC codes provide universal identifiers that allow the exchange of clinical data between heterogeneous computing environments.","ValueSet/us-core-procedure-code"
http://snomed.info/sct,null,active,"2.16.840.1.113883.6.96",SNOMED_CT,SNOMED CT (all versions),"SNOMED CT is the most comprehensive and precise clinical health terminology product in the world, owned and distributed around the world by The International Health Terminology Standards Development Organisation (IHTSDO).","ValueSet/vs-ems-dispatch-reason,ValueSet/us-core-condition-code,ValueSet/us-core-procedure-code"
http://terminology.hl7.org/CodeSystem/data-absent-reason,1.0.0,active,"2.16.840.1.113883.4.642.4.1048",DataAbsentReason,DataAbsentReason,"Used to specify why the normally expected content of the data element is missing.","ValueSet/yesnodontknow"
http://terminology.hl7.org/CodeSystem/observation-category,2.0.0,active,"2.16.840.1.113883.4.642.1.1125",ObservationCategoryCodes,Observation Category Codes,"Observation Category codes.","ValueSet/us-core-clinical-result-observation-category"
http://unitsofmeasure.org,3.0.1,active,"2.16.840.1.113883.6.8",UCUM,Unified Code for Units of Measure (UCUM),"The Unified Code for Units of Measure (UCUM) is a code system intended to include all units of measures being contemporarily used in international science, engineering, and business. The purpose is to facilitate unambiguous electronic communication of quantities together with their units. The focus is on electronic communication, as opposed to communication between humans. A typical application of The Unified Code for Units of Measure are electronic data interchange (EDI) protocols, but there is nothing that prevents it from being used in other types of machine communication.","ValueSet/ucum-bodylength"
http://www.ada.org/cdt,3.0.1,active,"2.16.840.1.113883.6.13",CDT,Code on Dental Procedures and Nomenclature,"The purpose of the CDT Code is to achieve uniformity, consistency and specificity in accurately documenting dental treatment. One use of the CDT Code is to provide for the efficient processing of dental claims, and another is to populate an Electronic Health Record.","ValueSet/us-core-procedure-code"
http://www.ama-assn.org/go/cpt,3.0.1,active,"2.16.840.1.113883.6.12",CPT,Current Procedural Terminology (CPT®),"The Current Procedural Terminology (CPT) code set, created and maintained by the American Medical Association, is the language of medicine today and the code to its future. This system of terminology is the most widely accepted medical nomenclature used to report medical procedures and services under public and private health insurance programs. CPT coding is also used for administrative management purposes such as claims processing and developing guidelines for medical care review. Each year, via a rigorous, evidence-based and transparent process, the independent CPT Editorial Panel revises, creates or deletes hundreds of codes in order to reflect current medical practice.    Designated by the U.S. Department of Health and Human Services under the Health Insurance Portability and Accountability Act (HIPAA) as a national coding set for physician and other health care professional services and procedures, CPT’s evidence-based codes accurately encompass the full range of health care services.    All CPT codes are five-digits and can be either numeric or alphanumeric, depending on the category. CPT code descriptors are clinically focused and utilize common standards so that a diverse set of users can have common understanding across the clinical health care paradigm.    There are various types of CPT codes:    Category I: These codes have descriptors that correspond to a procedure or service. Codes range from 00100–99499 and are generally ordered into sub-categories based on procedure/service type and anatomy.    Category II: These alphanumeric tracking codes are supplemental codes used for performance measurement. Using them is optional and not required for correct coding.    Category III: These are temporary alphanumeric codes for new and developing technology, procedures and services. They were created for data collection, assessment and in some instances, payment of new services and procedures that currently don’t meet the criteria for a Category I code.    Proprietary Laboratory Analyses (PLA) codes: These codes describe proprietary clinical laboratory analyses and can be either provided by a single (“solesource”) laboratory or licensed or marketed to multiple providing laboratories that are cleared or approved by the Food and Drug Administration (FDA)). This category includes but is not limited to Advanced Diagnostic Laboratory Tests (ADLTs) and Clinical Diagnostic Laboratory Tests (CDLTs), as defined under the Protecting Access to Medicare Act of 2014 (PAMA).","ValueSet/us-core-procedure-code"
http://www.cms.gov/Medicare/Coding/ICD10,2.0.1,active,"2.16.840.1.113883.6.4",Icd10PCS,ICD-10 Procedure Codes,"ICD Procedure Coding System (ICD 10 PCS)","ValueSet/us-core-procedure-code"
https://fhirems.github.io/fhirEMSCoreIG/CodeSystem/cs-nemsis-airway,0.2.0,active,"2.25.219926138944530828037824748808947630693.1.1",NEMSISAirway,NEMSIS eAirway Code System,"Enumeration codes from the NEMSIS 3.5.1 eAirway section covering airway management indications, device types, confirmation methods, confirming personnel, complications, and reasons for failed management.","ValueSet/vs-ems-airway-failure-reasons,ValueSet/vs-ems-airway-confirming-person,ValueSet/vs-ems-airway-complications,ValueSet/vs-ems-airway-device,ValueSet/vs-ems-airway-confirmation-method,ValueSet/vs-ems-airway-indications"
https://fhirems.github.io/fhirEMSCoreIG/CodeSystem/cs-nemsis-arrest,0.2.0,active,"2.25.219926138944530828037824748808947630693.1.2",NEMSISArrest,NEMSIS eArrest Code System,"Enumeration codes from the NEMSIS 3.5.1 eArrest section covering cardiac arrest status, etiology, resuscitation attempts, CPR type, ROSC, neurological outcome, end-of-event disposition, and first-responder roles.","ValueSet/vs-ems-neurological-outcome,ValueSet/vs-ems-rosc,ValueSet/vs-ems-arrest-etiology,ValueSet/vs-ems-arrest-end-event,ValueSet/vs-ems-cpr-discontinued-reason,ValueSet/vs-ems-first-rhythm,ValueSet/vs-ems-aed-use,ValueSet/vs-ems-resuscitation-attempted,ValueSet/vs-ems-cardiac-arrest,ValueSet/vs-ems-arrest-first-responder,ValueSet/vs-ems-arrest-witnessed,ValueSet/vs-ems-cpr-type"
https://fhirems.github.io/fhirEMSCoreIG/CodeSystem/cs-nemsis-codes,0.2.0,active,"2.25.219926138944530828037824748808947630693.1.3",NEMSISCodes,NEMSIS General Codes,"General NEMSIS enumeration codes for sections without a dedicated CodeSystem. Currently covers eHistory (eHistory.01 - Barriers to Patient Care). NEMSIS 3.5.1.251001CP2.","ValueSet/vs-ems-transfer-reason,ValueSet/vs-ems-agency-org-type,ValueSet/vs-ems-barrier-to-patient-care,ValueSet/vs-ems-crew-role,ValueSet/vs-ems-situation-organ-system,ValueSet/vs-ems-agency-service-type,ValueSet/vs-ems-agency-level-of-service,ValueSet/vs-ems-agency-org-status,ValueSet/vs-ems-initial-acuity,ValueSet/vs-ems-mci-triage-class,ValueSet/vs-ems-vehicle-type,ValueSet/vs-ems-external-report-type"
https://fhirems.github.io/fhirEMSCoreIG/CodeSystem/cs-nemsis-demographics,0.2.0,active,"2.25.219926138944530828037824748808947630693.1.20",NEMSISDemographics,NEMSIS DEM Demographic Code System,"Enumeration codes from the NEMSIS 3.5.1 DEM dataset sections dContact (agency contact type, medical director degree/board certification/compensation), dConfiguration (specialty service capability, EMD provision, patient monitoring capability), and dLocation (EMS location type).","ValueSet/vs-ems-medical-director-degree,ValueSet/vs-ems-agency-location-type,ValueSet/vs-ems-agency-contact-type,ValueSet/vs-ems-specialty-service-capability,ValueSet/vs-ems-emd-provided,ValueSet/vs-ems-director-compensation,ValueSet/vs-ems-medical-director-board-cert,ValueSet/vs-ems-monitoring-capability"
https://fhirems.github.io/fhirEMSCoreIG/CodeSystem/cs-nemsis-encounter,0.2.0,active,"2.25.219926138944530828037824748808947630693.1.4",NEMSISEncounter,NEMSIS Encounter Codes,"Enumeration codes from the NEMSIS eResponse, eDispatch, and eDisposition sections (NEMSIS 3.5.1.251001CP2).","ValueSet/vs-ems-transport-delay,ValueSet/vs-ems-destination-reason,ValueSet/vs-ems-unit-type,ValueSet/vs-ems-hospital-destination,ValueSet/vs-ems-pre-arrival-alert,ValueSet/vs-ems-transport-mode,ValueSet/vs-ems-destination-type,ValueSet/vs-ems-additional-transport-mode,ValueSet/vs-ems-crew-disposition,ValueSet/vs-ems-emd-performed,ValueSet/vs-ems-disposition-instructions,ValueSet/vs-ems-unit-disposition,ValueSet/vs-ems-response-mode,ValueSet/vs-ems-dispatch-delay,ValueSet/vs-ems-reason-for-refusal,ValueSet/vs-ems-hospital-capability,ValueSet/vs-ems-additional-response-mode,ValueSet/vs-ems-scene-delay,ValueSet/vs-ems-patient-acuity,ValueSet/vs-ems-dispatch-priority,ValueSet/vs-ems-turn-around-delay,ValueSet/vs-ems-patient-eval-care,ValueSet/vs-ems-transport-disposition,ValueSet/vs-ems-response-type,ValueSet/vs-ems-level-of-care,ValueSet/vs-ems-transport-method,ValueSet/vs-ems-response-delay"
https://fhirems.github.io/fhirEMSCoreIG/CodeSystem/cs-nemsis-exam,0.2.0,active,"2.25.219926138944530828037824748808947630693.1.5",NEMSISExam,NEMSIS Physical Exam Codes,"Enumeration codes for the NEMSIS eExam physical examination section. Covers body region assessments and finding location qualifiers. NEMSIS 3.5.1.251001CP2.","ValueSet/vs-ems-exam-mental-status,ValueSet/vs-ems-exam-back-spine,ValueSet/vs-ems-exam-pelvic-gu,ValueSet/vs-ems-exam-eye-location,ValueSet/vs-ems-exam-eye,ValueSet/vs-ems-exam-abd-location,ValueSet/vs-ems-exam-abdomen,ValueSet/vs-ems-exam-heart,ValueSet/vs-ems-exam-chest,ValueSet/vs-ems-exam-face,ValueSet/vs-ems-exam-back-location,ValueSet/vs-ems-exam-head,ValueSet/vs-ems-exam-neck,ValueSet/vs-ems-exam-extremity-location,ValueSet/vs-ems-exam-lung,ValueSet/vs-ems-exam-stroke-resolved,ValueSet/vs-ems-exam-neurological,ValueSet/vs-ems-exam-skin,ValueSet/vs-ems-exam-extremities,ValueSet/vs-ems-exam-chest-location,ValueSet/vs-ems-exam-lung-location,ValueSet/vs-ems-exam-length-tape"
https://fhirems.github.io/fhirEMSCoreIG/CodeSystem/cs-nemsis-history,0.2.0,active,"2.25.219926138944530828037824748808947630693.1.18",NEMSISHistory,NEMSIS eHistory Code System,"Enumeration codes from the NEMSIS 3.5.1 eHistory section covering advance directives, medical history source, immunization type, current medication dosage units and frequency, alcohol/drug use indicators, and pregnancy status.","ValueSet/vs-ems-med-frequency,ValueSet/vs-ems-immunization-type,ValueSet/vs-ems-advance-directives,ValueSet/vs-ems-pregnancy,ValueSet/vs-ems-history-med-dosage-units,ValueSet/vs-ems-alcohol-drug-use,ValueSet/vs-ems-history-obtained-from"
https://fhirems.github.io/fhirEMSCoreIG/CodeSystem/cs-nemsis-injury,0.2.0,active,"2.25.219926138944530828037824748808947630693.1.6",NEMSISInjury,NEMSIS eInjury Code System,"Enumeration codes from the NEMSIS 3.5.1 eInjury section covering mechanism of injury, CDC trauma triage criteria (high and moderate risk), vehicle occupant location, occupant safety equipment, airbag deployment, OSHA personal protective equipment, and ACN vehicle seat location.","ValueSet/vs-ems-mechanism-of-injury,ValueSet/vs-ems-acn-seat-location,ValueSet/vs-ems-seat-row-location,ValueSet/vs-ems-safety-equipment,ValueSet/vs-ems-airbag-deployment,ValueSet/vs-ems-trauma-triage-high-risk,ValueSet/vs-ems-trauma-triage-moderate-risk,ValueSet/vs-ems-osha-ppe"
https://fhirems.github.io/fhirEMSCoreIG/CodeSystem/cs-nemsis-labs,0.2.0,active,"2.25.219926138944530828037824748808947630693.1.7",NEMSISLabs,NEMSIS eLabs Code System,"Enumeration codes from the NEMSIS 3.5.1 eLabs section covering lab result types and imaging study types.","ValueSet/vs-ems-imaging-study-type,ValueSet/vs-ems-lab-result-type"
