Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-fhirems.emscore.json	121870	-	0	0	0	0	0	0	12	40	0	0	0	0	0	0	0	1	0	0	273	294	0	0	0	0	6	0	1
fsh-generated/resources/AllergyIntolerance-ex-ems-allergyintolerance.json	1232	1	0	0	0	0	0	0	0	379	0	0	0	0	0	0	0	0	0	0	5	10	0	0	0	0	0	0	0
fsh-generated/resources/CapabilityStatement-CapabilityStatement-ems-core-server.json	11029	1	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	53	27	0	0	0	0	0	0	0
fsh-generated/resources/Claim-ex-ems-claim.json	6072	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	13	16	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-cs-nemsis-airway.json	5238	2	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	18	30	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-cs-nemsis-arrest.json	7926	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	25	26	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-cs-nemsis-codes.json	10572	1	0	0	1	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	33	29	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-cs-nemsis-demographics.json	6452	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	21	20	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-cs-nemsis-encounter.json	26205	3	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	1	0	0	77	57	0	0	0	0	2	0	0
fsh-generated/resources/CodeSystem-cs-nemsis-exam.json	33392	3	0	0	0	0	0	0	1	11	0	0	0	0	1	0	0	0	0	0	132	103	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-cs-nemsis-history.json	8104	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	27	24	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-cs-nemsis-injury.json	9625	1	0	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	28	25	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-cs-nemsis-labs.json	7049	0	0	0	1	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	20	22	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-cs-nemsis-medications.json	14725	2	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	49	32	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-cs-nemsis-not-values.json	1252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	12	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-cs-nemsis-other.json	12036	1	0	0	0	0	0	0	1	3	0	0	0	0	1	0	0	1	0	0	36	31	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-cs-nemsis-payer-type.json	2384	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	9	15	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-cs-nemsis-payment.json	5759	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	18	19	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-cs-nemsis-personnel-level.json	1977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	15	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-cs-nemsis-pertinent-negative.json	3115	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	11	13	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-cs-nemsis-procedures.json	10613	1	0	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	34	22	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-cs-nemsis-situation.json	1222	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	12	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-cs-nemsis-vitals.json	8613	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	26	20	0	0	0	0	2	0	1
fsh-generated/resources/CodeSystem-nemsis-patient.json	2505	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	8	15	0	0	0	0	0	0	0
fsh-generated/resources/Composition-ex-ems-composition.json	5193	1	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	8	25	0	0	0	0	0	0	0
fsh-generated/resources/Condition-ex-ems-condition-arrest.json	7217	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	13	12	0	0	0	0	0	0	0
fsh-generated/resources/Condition-ex-ems-condition-injury.json	5932	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	11	10	0	0	0	0	0	0	0
fsh-generated/resources/Condition-ex-ems-condition-problems.json	3330	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	11	0	0	0	0	0	0	0
fsh-generated/resources/Condition-ex-ems-condition.json	1230	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5	9	0	0	0	0	0	0	0
fsh-generated/resources/Coverage-ex-ems-coverage.json	1179	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	8	0	0	0	0	0	0	0
fsh-generated/resources/Device-ex-ems-device-vehicle.json	1070	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4	8	0	0	0	0	0	0	0
fsh-generated/resources/DocumentReference-ex-ems-documentreference.json	1639	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	6	12	0	0	0	0	0	0	0
fsh-generated/resources/Encounter-ex-ems-encounter.json	15636	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	22	23	0	0	0	0	0	0	0
fsh-generated/resources/Location-ex-ems-location-agency.json	1201	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	11	0	0	0	0	0	0	0
