URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://hl7.org/fhir/ValueSet/contact-point-system,4.0.1,active,"2.16.840.1.113883.4.642.3.71",ContactPointSystem,ContactPointSystem,"Telecommunications form for contact point.","StructureDefinition/ems-patient","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/ucum-bodylength,4.0.1,draft,"2.16.840.1.113883.4.642.3.958",BodyLengthUnits,Body Length Units,"UCUM units for recording body length measures such as height and head circumference","StructureDefinition/ext-ems-airway-context","UCUM"
http://hl7.org/fhir/ValueSet/yesnodontknow,4.0.1,draft,,Yes/No/Don't Know,,"For Capturing simple yes-no-don't know answers","StructureDefinition/ext-ems-scene-details,StructureDefinition/ext-ems-procedure-context,StructureDefinition/ext-ems-vital-obtained-prior,StructureDefinition/ext-ems-medication-context","THO"
http://hl7.org/fhir/us/core/ValueSet/us-core-clinical-result-observation-category,6.1.0,active,,USCoreClinicalResultObservationCategory,US Core Clinical Result Observation Category,"Used to classify the context of clinical result observations.","StructureDefinition/ems-observation-labs","THO"
http://hl7.org/fhir/us/core/ValueSet/us-core-condition-code,6.1.0,active,,USCoreConditionCodes,US Core Condition Codes,"This describes the problem. Diagnosis/Problem List is broadly defined as a series of brief statements that catalog a patient's medical, nursing, dental, social, preventative and psychiatric events and issues that are relevant to that patient's healthcare (e.g., signs, symptoms, and defined conditions). ICD-10 is appropriate for Diagnosis information, and ICD-9 for historical information.","StructureDefinition/ems-condition","SCT,FHIR,hl7.terminology.r4"
http://hl7.org/fhir/us/core/ValueSet/us-core-procedure-code,6.1.0,active,,USCoreProcedureCodes,US Core Procedure Codes,"Concepts from CPT, SNOMED CT, HCPCS Level II Alphanumeric Codes, ICD-10-PCS,CDT and LOINC code systems that can be used to indicate the type of procedure performed.","StructureDefinition/ems-procedure","SCT,LOINC,hl7.terminology.r4"
http://hl7.org/fhir/us/core/ValueSet/us-core-usps-state,6.1.0,active,"2.16.840.1.113883.4.642.3.40",UspsTwoLetterAlphabeticCodes,USPS Two Letter Alphabetic Codes,"This value set defines two letter USPS alphabetic codes.","StructureDefinition/ems-patient","Other"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-acn-seat-location,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.1",EMSACNSeatLocationVS,EMS ACN Vehicle Seat Location VS,"Automated Collision Notification (ACN) vehicle seat location of the patient (eInjury.26).","StructureDefinition/ext-ems-acn-incident","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-additional-response-mode,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.2",EMSAdditionalResponseModeVS,EMS Additional Response Mode Descriptors (ValueSet),"NEMSIS eResponse.24 - Additional descriptors of response mode (lights, sirens, speed, intersection navigation).","StructureDefinition/ext-ems-additional-response-mode","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-additional-transport-mode,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.3",EMSAdditionalTransportModeVS,EMS Additional Transport Mode Descriptors,"NEMSIS eDisposition.18 - Additional descriptors of transport mode (lights, sirens, speed, intersection navigation).","StructureDefinition/ext-ems-transport-details","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-advance-directives,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.130",EMSAdvanceDirectivesVS,EMS Advance Directives VS,"The type of advance directive documentation present for the patient (eHistory.05).","StructureDefinition/ext-ems-history-context","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-aed-use,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.4",EMSAEDUseVS,EMS AED Use VS,"Whether an AED was used prior to EMS arrival (eArrest.07).","StructureDefinition/ext-ems-arrest-context","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-age-units,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.5",EMSAgeUnitsVS,EMS Age Units,"NEMSIS ePatient.16 - Units of measure for the patient's age when exact date of birth is unknown. Used alongside ePatient.15 (Age).","StructureDefinition/ext-ems-patient-age","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-agency-contact-type,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.146",EMSAgencyContactTypeVS,EMS AgencyContactType VS,"The role/type of the agency contact person (dContact.01).","StructureDefinition/ems-organization","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-agency-level-of-service,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.6",EMSAgencyLevelOfServiceVS,EMS Agency Level of Service,"NEMSIS dAgency.11 - The highest level of care the EMS agency is licensed/certified to provide.","StructureDefinition/ext-ems-agency-details","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-agency-location-type,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.153",EMSAgencyLocationTypeVS,EMS AgencyLocationType VS,"The type of EMS agency location/station (dLocation.01).","StructureDefinition/ems-location-agency","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-agency-org-status,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.7",EMSAgencyOrgStatusVS,EMS Agency Organization Status,"NEMSIS dAgency.12 - Whether the EMS agency is staffed by volunteers, paid personnel, or both.","StructureDefinition/ext-ems-agency-details","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-agency-org-type,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.8",EMSAgencyOrgTypeVS,EMS Agency Organizational Type,"NEMSIS dAgency.13 - The organizational type of the EMS agency.","StructureDefinition/ems-organization","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-agency-service-type,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.9",EMSAgencyServiceTypeVS,EMS Agency Service Type,"NEMSIS dAgency.09/10 - The type(s) of EMS service provided by the agency.","StructureDefinition/ext-ems-agency-details","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-airbag-deployment,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.10",EMSAirbagDeploymentVS,EMS Airbag Deployment VS,"Airbag deployment status observed at the crash (eInjury.08).","StructureDefinition/ext-ems-injury-context","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-airway-complications,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.11",EMSAirwayComplicationsVS,EMS Airway Complications VS,"Complications encountered during airway management (eAirway.08).","StructureDefinition/ext-ems-airway-context","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-airway-confirmation-method,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.12",EMSAirwayConfirmationMethodVS,EMS Airway Confirmation Method VS,"Method used to confirm airway device placement (eAirway.04).","StructureDefinition/ext-ems-airway-context","Internal"
